# SignalP-5.0	Organism: Eukarya	Timestamp: 20240708010835
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
AT1G01940_P1	OTHER	0.002850	0.997150	
AT1G20220_P1	OTHER	0.000338	0.999662	
AT1G27970_P1	OTHER	0.001105	0.998895	
AT1G27970.2	OTHER	0.001105	0.998895	
AT1G51830_P2	OTHER	0.007949	0.992051	
AT2G01450_P1	OTHER	0.001335	0.998665	
AT2G01450.2	OTHER	0.001335	0.998665	
AT2G01450.3	OTHER	0.001335	0.998665	
AT2G21385.1	OTHER	0.000724	0.999276	
AT2G21385.2	OTHER	0.000579	0.999421	
AT2G21385.3	OTHER	0.000724	0.999276	
AT2G21385.4	OTHER	0.000724	0.999276	
AT2G22720_P3	OTHER	0.000201	0.999799	
AT2G22720_P5	OTHER	0.000201	0.999799	
AT2G22720_P6	OTHER	0.000201	0.999799	
AT2G30170_P1	OTHER	0.001476	0.998524	
AT2G30170_P4	OTHER	0.001476	0.998524	
AT2G30170_P5	OTHER	0.001476	0.998524	
AT2G30170_P7	OTHER	0.001052	0.998948	
AT2G41230_P1	OTHER	0.005923	0.994077	
AT2G44980_P2	OTHER	0.001057	0.998943	
AT2G44980_P3	OTHER	0.001057	0.998943	
AT3G13340_P1	OTHER	0.000672	0.999328	
AT3G13340_P2	OTHER	0.000672	0.999328	
AT3G13340_P3	OTHER	0.000672	0.999328	
AT3G20290_P2	OTHER	0.001452	0.998548	
AT3G20290_P3	OTHER	0.001452	0.998548	
AT3G25540_P1	OTHER	0.000308	0.999692	
AT3G25540_P2	OTHER	0.000308	0.999692	
AT3G25540.1	OTHER	0.000308	0.999692	
AT3G51240.1	OTHER	0.001879	0.998121	
AT3G51240.2	OTHER	0.001568	0.998432	
AT3G54960_P1	SP(Sec/SPI)	0.992054	0.007946	CS pos: 25-26. SRA-EN. Pr: 0.7819
AT3G56160_P2	OTHER	0.001586	0.998414	
AT3G56160_P3	OTHER	0.001586	0.998414	
AT3G56160_P4	OTHER	0.001586	0.998414	
AT3G56160_P5	OTHER	0.001788	0.998212	
AT4G02450_P1	OTHER	0.002367	0.997633	
AT4G10130_P1	OTHER	0.000552	0.999448	
AT4G10130_P2	OTHER	0.000552	0.999448	
AT4G11120_P1	OTHER	0.003131	0.996869	
AT4G13150_P1	OTHER	0.000533	0.999467	
AT4G13150_P2	OTHER	0.000533	0.999467	
AT4G13150_P4	OTHER	0.000533	0.999467	
AT4G27040_P1	OTHER	0.001038	0.998962	
AT4G27040_P4	OTHER	0.001038	0.998962	
AT4G27040_P6	OTHER	0.001038	0.998962	
AT4G27040.2	OTHER	0.001038	0.998962	
AT4G30200_P2	OTHER	0.000449	0.999551	
AT4G30200_P3	OTHER	0.000449	0.999551	
AT4G30260_P2	OTHER	0.139141	0.860859	
AT4G35020_P1	OTHER	0.006915	0.993085	
AT4G35020_P3	OTHER	0.006915	0.993085	
AT4G35020_P5	OTHER	0.006915	0.993085	
AT4G38510.1	OTHER	0.000605	0.999395	
AT4G38510.2	OTHER	0.000605	0.999395	
AT4G38510.3	OTHER	0.000605	0.999395	
AT4G38510.5	OTHER	0.001092	0.998908	
AT5G02780_P1	OTHER	0.000942	0.999058	
AT5G02780_P3	OTHER	0.000942	0.999058	
AT5G02780.2	OTHER	0.000942	0.999058	
AT5G38460_P1	OTHER	0.002943	0.997057	
AT5G38460.2	OTHER	0.002943	0.997057	
AT5G65685.1	OTHER	0.000739	0.999261	
