#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
AT1G01940_P1	161	0.42493	8.44244384766	1	0.953293	coding
AT1G01940_ID2	167	0.43784	8.79168701172	1	0.97389	coding
AT1G20220_P1	316	0.46972	9.91827392578	1	0.999997	coding
AT1G20220_s1	263	0.44479	10.0604858398	1	0.99984	coding
AT1G20220_ID166	297	0.46152	9.94964599609	1	0.999988	coding
AT1G20220_ID168	297	0.44766	9.98150634766	1	0.999978	coding
AT1G27970_P1	127	0.42732	5.87176513672	1	0.86333	coding
AT1G27970.2	135	0.45608	5.87176513672	1	0.932578	coding
AT1G51830_P2	701	0.47851	5.55596923828	1	1	coding
AT1G51830_c1	442	0.43733	6.10296630859	1	1	coding
AT1G51830_c2	313	0.44668	5.50164794922	1	1	coding
AT2G01450_P1	487	0.47085	6.45269775391	1	1	coding
AT2G01450.2	487	0.47085	6.45269775391	1	1	coding
AT2G01450.3	487	0.4716	6.45269775391	1	1	coding
AT2G01450_ID24	283	0.45531	5.94830322266	1	0.999996	coding
AT2G01450_ID25	283	0.42916	5.94830322266	1	0.999994	coding
AT2G01450_ID28	259	0.41393	7.18157958984	1	0.999885	coding
AT2G01450_ID29	227	0.35179	5.43438720703	1	0.998737	coding
AT2G01450_ID30	227	0.35735	5.43438720703	1	0.998936	coding
AT2G05220_c1	141	0.44519	10.0358276367	1	0.906991	coding
AT2G05220_ID2	141	0.41244	10.0358276367	1	0.809265	coding
AT2G21385.3	335	0.50387	7.02349853516	1	1	coding
AT2G21385.4	374	0.47786	8.61773681641	1	1	coding
AT2G21385_ID263	286	0.48535	5.36199951172	1	0.999998	coding
AT2G21385_ID94	166	0.44457	8.65374755859	1	0.976717	coding
AT2G21385_ID95	253	0.46854	5.32110595703	1	0.999982	coding
AT2G21385.1	331	0.50141	7.02349853516	1	1	coding
AT2G21385.2	253	0.48063	5.32110595703	1	0.99998	coding
AT2G22720_P5	562	0.39978	10.1497192383	1	1	coding
AT2G22720_ID1	341	0.41966	11.5752563477	1	0.999945	coding
AT2G22720_P6	562	0.38951	10.1497192383	1	1	coding
AT2G22720_P3	570	0.38951	10.1840209961	1	1	coding
AT2G30170_ID12	159	0.39012	4.83172607422	1	0.982074	coding
AT2G30170_ID17	154	0.44078	4.91705322266	1	0.988062	coding
AT2G30170_ID9	187	0.49305	4.97906494141	1	0.99812	coding
AT2G30170_P4	225	0.46305	5.29473876953	1	0.999882	coding
AT2G30170_P7	189	0.47824	4.57635498047	1	0.999063	coding
AT2G30170_P1	299	0.45201	5.11944580078	1	0.999999	coding
AT2G30170_P5	266	0.49634	5.10614013672	1	0.99999	coding
AT2G41230_s1	89	0.37118	6.52313232422	1	0.164744	noncoding
AT2G41230_P1	89	0.33395	6.52313232422	1	0.112811	noncoding
AT2G44980_P3	877	0.48924	5.60003662109	1	1	coding
AT2G44980_P2	878	0.48924	5.60003662109	1	1	coding
AT3G13340_P3	448	0.49432	4.86090087891	1	1	coding
AT3G13340_P2	448	0.41766	4.86090087891	1	1	coding
